exercise_name,session_exercises,user_text,event_type,severity
Barbell Row,Lat Pulldown; Squat; Hamstring Curl; Face Pull; Barbell Row; Deadlift; Bench Press,bsq absolutely brutal and I failed the last rep.,none,na
Leg Press,Leg Press; Dumbbell Fly; Hip Thrust; Barbell Row; Bench Press; Face Pull; Leg Extension,face pull had 4 reps in reserve next time add weight.,none,na
Lunge,Barbell Row; Hip Thrust; Pull-Up; Lat Pulldown; Lunge,gym was packed so I couldn't do row. Will adjust next time.,none,na
Overhead Press,Overhead Press; Deadlift; Lunge; Squat; Hamstring Curl; Dumbbell Fly,leg curl and pull felt light! split squat absolutely brutal.,none,na
Squat,Hip Thrust; Triceps Pushdown; Squat; Dumbbell Curl; Hamstring Curl; Leg Extension; Lateral Raise; Lunge,felt gassed today. glute bridge failed last set. leg extension was too light.,none,na
Dumbbell Curl,Pull-Up; Face Pull; Dumbbell Curl; Hamstring Curl; Bench Press; Lat Pulldown; Barbell Row,chinup could go heavier. couldn't get a bnech so I couldn't do lat pull-down. face pull absolutely brutal and I failed the last rep.,none,na
Dumbbell Fly,Hip Thrust; Bench Press; Squat; Incline Bench Press; Dumbbell Fly; Lunge,BTW on dumbbell fly my technique felt off!,form,medium
Overhead Press,Leg Press; Romanian Deadlift; Dumbbell Curl; Lunge; Barbell Row; Incline Bench Press; Overhead Press; Pull-Up,ran out of time so I cut curl.,none,na
Dumbbell Curl,Lat Pulldown; Bench Press; Dumbbell Curl; Lunge; Pull-Up,Solid session.,none,na
Leg Extension,Romanian Deadlift; Squat; Hamstring Curl; Leg Extension; Deadlift; Hip Thrust; Lunge,on hamstring curl my technique felt off.,none,na
Dumbbell Curl,Dumbbell Fly; Lateral Raise; Bench Press; Squat; Dumbbell Curl; Pull-Up; Lat Pulldown; Hamstring Curl,had to leave early so I cut dumbbell curl! pull-up had pain in my lower back. on db fly my knees caved!,time,high
Dumbbell Fly,Leg Press; Calf Raise; Dumbbell Fly; Dumbbell Curl; Bench Press; Triceps Pushdown; Hip Thrust,no cables available so I couldn't do leg press. Will adjust next time.,none,na
Bench Press,Lunge; Calf Raise; Romanian Deadlift; Dumbbell Fly; Leg Press; Squat; Dumbbell Curl; Bench Press,felt low energy today. had to leave early so I cut db fly. back squat had felt tight in my wrist.,none,na
Bench Press,Squat; Face Pull; Lunge; Leg Extension; Bench Press; Pull-Up,squat was too light next time add weight. gym was packed so I couldn't do quad extension.,none,na
Leg Press,Overhead Press; Dumbbell Fly; Triceps Pushdown; Leg Press; Lunge; Squat,not recovered today! on fly my knees caved.,none,na
Face Pull,Pull-Up; Squat; Face Pull; Hip Thrust; Triceps Pushdown; Overhead Press; Lat Pulldown; Leg Extension,Everything went fine.,none,na
Face Pull,Incline Bench Press; Lateral Raise; Hamstring Curl; Face Pull; Calf Raise; Overhead Press; Bench Press; Leg Extension,time crunch so I cut lateral raise!,none,na
Dumbbell Curl,Bench Press; Dumbbell Curl; Romanian Deadlift; Pull-Up; Lateral Raise,bp smoked me! couldn't finish accessories so I cut pull-up. dumbbell curl was too light!,too_light,low
Deadlift,Lunge; Overhead Press; Romanian Deadlift; Deadlift; Bench Press; Hip Thrust; Dumbbell Fly; Incline Bench Press,All good.,none,na
Dumbbell Curl,Leg Press; Dumbbell Curl; Lateral Raise; Face Pull; Leg Extension; Triceps Pushdown; Hamstring Curl,rope pushdown felt easy could increase load! leg curl had aching in my wrist.,none,na
Pull-Up,Dumbbell Curl; Pull-Up; Overhead Press; Triceps Pushdown; Hamstring Curl; Calf Raise; Barbell Row; Bench Press,stressful day today.,none,na
Lateral Raise,Lunge; Squat; Dumbbell Fly; Romanian Deadlift; Lateral Raise,fly had sharp pain in my elbow. squat could go heavier next time add weight.,none,na
Lunge,Overhead Press; Lunge; Romanian Deadlift; Deadlift; Bench Press; Squat; Dumbbell Fly,deadlift felt super heavy and I missed reps! fly smoked me!,none,na
Lunge,Bench Press; Overhead Press; Deadlift; Face Pull; Squat; Lunge; Calf Raise,rear delt had hurt in my knee!,none,na
Face Pull,Bench Press; Romanian Deadlift; Deadlift; Pull-Up; Face Pull; Squat; Incline Bench Press,incline bench absolutely brutal!,none,na
Overhead Press,Pull-Up; Overhead Press; Face Pull; Incline Bench Press; Squat; Lateral Raise; Romanian Deadlift; Hip Thrust,pullup absolutely brutal! tbh,none,na
Hip Thrust,Leg Press; Barbell Row; Dumbbell Curl; Leg Extension; Dumbbell Fly; Hip Thrust; Lateral Raise,gym was packed so I couldnt do press.,none,na
Barbell Row,Dumbbell Fly; Barbell Row; Squat; Hip Thrust; Dumbbell Curl; Incline Bench Press; Lateral Raise; Pull-Up,All good.,none,na
Lunge,Overhead Press; Dumbbell Curl; Romanian Deadlift; Lateral Raise; Lat Pulldown; Squat; Lunge; Barbell Row,lunge and lateral raise felt easy!,too_light,medium
Hip Thrust,Hip Thrust; Deadlift; Dumbbell Curl; Barbell Row; Overhead Press; Triceps Pushdown; Leg Extension; Lat Pulldown,"Felt good today, no issues.",none,na
Calf Raise,Romanian Deadlift; Lat Pulldown; Leg Press; Calf Raise; Squat; Overhead Press; Dumbbell Curl,biceps curl was too heavy and I failed the last rep.,none,na
Lunge,Deadlift; Calf Raise; Bench Press; Lat Pulldown; Lunge; Lateral Raise,BTW not recovered today.,none,na
Incline Bench Press,Hip Thrust; Overhead Press; Lateral Raise; Deadlift; Incline Bench Press; Leg Extension; Barbell Row; Dumbbell Curl,incline bench smoked me and I missed reps!,too_heavy,medium
Dumbbell Curl,Dumbbell Curl; Leg Extension; Romanian Deadlift; Leg Press; Face Pull; Triceps Pushdown; Deadlift; Calf Raise,"Also, couldn't finish accessories so I cut deadlift.",none,na
Hamstring Curl,Calf Raise; Hamstring Curl; Lat Pulldown; Overhead Press; Leg Press; Face Pull; Romanian Deadlift; Barbell Row,ran out of time so I cut romanian deadlift. Overall ok.,none,na
Squat,Hamstring Curl; Deadlift; Lat Pulldown; Leg Extension; Squat; Bench Press; Overhead Press,felt low energy today. pull could go heavier could increase load. flat bench missed reps. Will adjust next time.,none,na
Leg Press,Pull-Up; Deadlift; Lat Pulldown; Calf Raise; Leg Press,Solid session.,none,na
Bench Press,Triceps Pushdown; Bench Press; Squat; Dumbbell Fly; Lateral Raise; Leg Extension,BTW stressful day today. on leg extension my lost tightness. lateral raise was too light next time add weight.,none,na
Face Pull,Lunge; Leg Press; Face Pull; Lateral Raise; Squat; Calf Raise,Everything went fine.,none,na
Romanian Deadlift,Romanian Deadlift; Lateral Raise; Lunge; Dumbbell Curl; Incline Bench Press,BTW biceps curl missed reps! side raise had felt tight in my lower back! on rdl my form broke down.,form,low
Hamstring Curl,Lateral Raise; Lunge; Squat; Dumbbell Curl; Hamstring Curl; Barbell Row; Romanian Deadlift; Hip Thrust,"Also, leg curl and squat were brutal and I couldn't finish all reps.",too_heavy,medium
Bench Press,Squat; Leg Press; Lateral Raise; Incline Bench Press; Pull-Up; Bench Press,chinup had sharp pain in my wrist.,none,na
Overhead Press,Leg Extension; Dumbbell Fly; Dumbbell Curl; Lat Pulldown; Overhead Press,Note: dumbbell fly had sharp pain in my neck. Overall ok.,none,na
Hip Thrust,Incline Bench Press; Calf Raise; Hip Thrust; Leg Extension; Lateral Raise; Dumbbell Curl,All good.,none,na
Squat,Deadlift; Squat; Hamstring Curl; Barbell Row; Bench Press; Calf Raise,bb row and back squat were super heavy.,too_heavy,high
Dumbbell Fly,Hamstring Curl; Deadlift; Overhead Press; Dumbbell Fly; Triceps Pushdown,rope pushdown and pull were super heavy.,none,na
Incline Bench Press,Squat; Lunge; Hip Thrust; Incline Bench Press; Lat Pulldown; Hamstring Curl; Deadlift; Romanian Deadlift,time crunch so I cut split squat. hamstring curl felt like warmup!,none,na
Romanian Deadlift,Leg Extension; Bench Press; Romanian Deadlift; Face Pull; Leg Press,machine was taken so I couldn't do leg extension! press too easy!,none,na
Pull-Up,Lat Pulldown; Pull-Up; Overhead Press; Bench Press; Barbell Row; Leg Extension; Leg Press; Hamstring Curl,BTW on overhead press my technique felt off!,none,na
Hip Thrust,Lateral Raise; Incline Bench Press; Lunge; Hip Thrust; Pull-Up; Hamstring Curl,Note: side raise had aching in my lower back.,none,na
Pull-Up,Dumbbell Curl; Hip Thrust; Hamstring Curl; Deadlift; Incline Bench Press; Pull-Up; Calf Raise,dumbbell curl too easy.,none,na
Dumbbell Fly,Face Pull; Barbell Row; Leg Extension; Calf Raise; Dumbbell Fly; Triceps Pushdown; Hip Thrust; Lat Pulldown,bad sleep today! on hip thrust my technique felt off. couldn't get a bench so I couldn't do leg extension! lol,none,na
Hamstring Curl,Overhead Press; Barbell Row; Lateral Raise; Lat Pulldown; Calf Raise; Hamstring Curl; Leg Press,Note: stressful day today. leg curl absolutely brutal and I missed reps.,too_heavy,medium
Squat,Bench Press; Squat; Lateral Raise; Barbell Row; Triceps Pushdown; Lat Pulldown; Incline Bench Press; Leg Extension,Note: quad extension and lateral raise were brutal.,none,na
Leg Press,Bench Press; Dumbbell Curl; Leg Press; Barbell Row; Pull-Up; Hip Thrust,leg press had 4 reps in reserve could increase load! stressful day today! rack was occupied so I couldn't do bb row! ngl,too_light,high
Lateral Raise,Dumbbell Fly; Dumbbell Curl; Lateral Raise; Lunge; Romanian Deadlift; Barbell Row,Everything went fine.,none,na
Romanian Deadlift,Hip Thrust; Deadlift; Pull-Up; Hamstring Curl; Romanian Deadlift; Face Pull,pullup had 4 reps in reserve next time add weight.,none,na
Hamstring Curl,Calf Raise; Dumbbell Curl; Deadlift; Hamstring Curl; Lunge; Leg Extension; Face Pull; Lateral Raise,BTW leg extension felt super heavy!,none,na
Barbell Row,Face Pull; Pull-Up; Barbell Row; Deadlift; Lateral Raise,on bb row my lost tightness.,form,medium
Hip Thrust,Calf Raise; Overhead Press; Pull-Up; Face Pull; Lunge; Triceps Pushdown; Hip Thrust; Lat Pulldown,calves and ohp felt too easy.,none,na
Hamstring Curl,Barbell Row; Leg Extension; Lunge; Hamstring Curl; Hip Thrust,leg curl was too light next time add weight.,too_light,medium
Leg Extension,Hamstring Curl; Barbell Row; Leg Extension; Lat Pulldown; Squat; Lunge,stressful day today. bad sleep today. Overall ok.,none,na
Deadlift,Hamstring Curl; Deadlift; Dumbbell Curl; Leg Extension; Bench Press; Leg Press; Barbell Row,All good.,none,na
Squat,Hip Thrust; Leg Extension; Deadlift; Lat Pulldown; Dumbbell Curl; Face Pull; Lateral Raise; Squat,BTW rear delt and bsq were brutal.,too_heavy,low
Lunge,Hamstring Curl; Dumbbell Curl; Lunge; Leg Extension; Squat; Hip Thrust; Face Pull; Bench Press,All good.,none,na
Dumbbell Fly,Deadlift; Triceps Pushdown; Dumbbell Fly; Lat Pulldown; Lunge; Calf Raise; Hamstring Curl,lat pulldown absolutely brutal and I missed reps. split squat too easy could increase load!,none,na
Barbell Row,Bench Press; Leg Extension; Hamstring Curl; Barbell Row; Dumbbell Fly; Dumbbell Curl,All good.,none,na
Romanian Deadlift,Pull-Up; Dumbbell Fly; Calf Raise; Hamstring Curl; Leg Extension; Leg Press; Romanian Deadlift,chinup had 4 reps in reserve could increase load.,none,na
Hip Thrust,Romanian Deadlift; Lat Pulldown; Dumbbell Fly; Pull-Up; Hip Thrust; Bench Press; Barbell Row,All good.,none,na
Face Pull,Dumbbell Curl; Dumbbell Fly; Face Pull; Calf Raise; Romanian Deadlift; Pull-Up,machine was taken so I couldn't do curl.,none,na
Barbell Row,Pull-Up; Calf Raise; Dumbbell Curl; Triceps Pushdown; Barbell Row,barbell row absolutely brutal.,too_heavy,low
Face Pull,Bench Press; Leg Extension; Pull-Up; Dumbbell Curl; Lunge; Lateral Raise; Face Pull,split squat and lateral raise felt easy could add weight next time!,none,na
Calf Raise,Incline Bench Press; Calf Raise; Barbell Row; Lateral Raise; Bench Press,bb row too easy. couldn't finish accessories so I cut bp. time crunch so I cut incline bench.,none,na
Pull-Up,Pull-Up; Lunge; Barbell Row; Dumbbell Curl; Face Pull; Romanian Deadlift; Hip Thrust; Lateral Raise,pullup had 4 reps in reserve could increase load. on db curl my knees caved. time crunch so I cut glute bridge. Overall ok.,too_light,medium
Romanian Deadlift,Barbell Row; Bench Press; Squat; Romanian Deadlift; Leg Extension,BTW on squat my lost tightness.,none,na
Squat,Barbell Row; Squat; Overhead Press; Lat Pulldown; Calf Raise,lat pulldown had tweak in my ankle!,none,na
Overhead Press,Overhead Press; Leg Extension; Dumbbell Fly; Dumbbell Curl; Pull-Up; Barbell Row; Hip Thrust; Bench Press,"Also, flat bench had pain in my lower back!",none,na
Dumbbell Curl,Calf Raise; Hip Thrust; Deadlift; Overhead Press; Bench Press; Dumbbell Curl; Leg Extension; Leg Press,BTW gym was packed so I couldn't do leg press!,none,na
Triceps Pushdown,Triceps Pushdown; Lateral Raise; Bench Press; Squat; Leg Press; Calf Raise,calves missed reps.,none,na
Hip Thrust,Lateral Raise; Dumbbell Fly; Hamstring Curl; Deadlift; Leg Press; Calf Raise; Pull-Up; Hip Thrust,no cables available so I couldn't do hamstring curl!,none,na
Leg Extension,Hip Thrust; Incline Bench Press; Calf Raise; Barbell Row; Leg Extension; Bench Press; Leg Press; Squat,ran out of time so I cut press. on bp my back rounded. on calves my lost tightness!,none,na
Face Pull,Lateral Raise; Leg Press; Bench Press; Hamstring Curl; Dumbbell Fly; Hip Thrust; Face Pull; Romanian Deadlift,Note: hamstring curl and side raise were super heavy.,none,na
Barbell Row,Overhead Press; Leg Press; Leg Extension; Dumbbell Curl; Incline Bench Press; Deadlift; Barbell Row; Dumbbell Fly,BTW quad extension failed last set.,none,na
Triceps Pushdown,Lunge; Triceps Pushdown; Pull-Up; Leg Press; Hamstring Curl; Lat Pulldown; Incline Bench Press; Dumbbell Curl,split squat and db curl felt easy. pullup had tweak in my wrist.,none,na
Lateral Raise,Calf Raise; Barbell Row; Lateral Raise; Face Pull; Squat,face pull felt easy!,none,na
Leg Extension,Leg Extension; Hamstring Curl; Leg Press; Lat Pulldown; Romanian Deadlift,Note: short on time so I cut leg extension! on press my technique felt off. on lat pull-down my knees caved.,time,high
Dumbbell Curl,Deadlift; Face Pull; Dumbbell Curl; Lunge; Calf Raise; Bench Press,calf raise smoked me. Overall ok.,none,na
Bench Press,Overhead Press; Romanian Deadlift; Hamstring Curl; Pull-Up; Bench Press; Lateral Raise; Lunge; Barbell Row,benchpress had hurt in my hip! no cables available so I couldn't do pull-up. barbell row had hurt in my ankle.,pain,medium
Incline Bench Press,Dumbbell Fly; Overhead Press; Hip Thrust; Triceps Pushdown; Incline Bench Press; Lat Pulldown; Calf Raise,Note: fly was too heavy. not recovered today.,none,na
Face Pull,Lunge; Hip Thrust; Face Pull; Incline Bench Press; Calf Raise,Note: on lunge my form broke down. glute bridge felt easy!,none,na
Hip Thrust,Barbell Row; Calf Raise; Lateral Raise; Bench Press; Hip Thrust,row felt super heavy and I failed the last rep!,none,na
Pull-Up,Lat Pulldown; Bench Press; Dumbbell Fly; Pull-Up; Incline Bench Press; Squat; Lateral Raise; Leg Press,bsq had sharp pain in my neck. Will adjust next time. ngl,none,na
Triceps Pushdown,Overhead Press; Leg Extension; Lunge; Barbell Row; Triceps Pushdown; Face Pull; Calf Raise; Dumbbell Fly,overhead press felt super heavy and I missed reps.,none,na
Barbell Row,Squat; Barbell Row; Hamstring Curl; Face Pull; Deadlift; Pull-Up,Solid session.,none,na
Dumbbell Fly,Triceps Pushdown; Dumbbell Fly; Hip Thrust; Face Pull; Pull-Up; Lunge,rope pushdown felt like warmup could increase load!,none,na
Triceps Pushdown,Triceps Pushdown; Squat; Barbell Row; Lat Pulldown; Pull-Up; Dumbbell Fly; Overhead Press,on back squat my technique felt off. dumbbell fly missed reps!,none,na
Lunge,Lunge; Calf Raise; Overhead Press; Dumbbell Fly; Lat Pulldown,gym was packed so I couldn't do overhead press!,none,na
Hip Thrust,Deadlift; Lunge; Leg Extension; Pull-Up; Hamstring Curl; Barbell Row; Hip Thrust,lunge had sharp pain in my ankle. hip thrust had sharp pain in my hip! pull-up absolutely brutal. tbh,pain,high
Deadlift,Hip Thrust; Deadlift; Triceps Pushdown; Barbell Row; Pull-Up; Lunge; Lat Pulldown,barbell row could go heavier could increase load. Need more rest.,none,na
Squat,Triceps Pushdown; Romanian Deadlift; Pull-Up; Face Pull; Barbell Row; Squat; Deadlift; Dumbbell Fly,chinup absolutely brutal and I missed reps. Overall ok.,none,na
Squat,Dumbbell Curl; Lat Pulldown; Triceps Pushdown; Hip Thrust; Squat,pulldown had to stop early and I failed the last rep. Need more rest.,none,na
Hamstring Curl,Face Pull; Incline Bench Press; Hip Thrust; Lunge; Hamstring Curl; Dumbbell Curl; Overhead Press,"Also, hip thrust, biceps curl, and hamstring curl felt light could add weight next time.",too_light,medium
Leg Extension,Deadlift; Leg Press; Triceps Pushdown; Hip Thrust; Leg Extension,machine was taken so I couldn't do leg extension.,equipment,medium
Lunge,Barbell Row; Dumbbell Curl; Pull-Up; Leg Press; Lunge; Incline Bench Press,"BTW barbell row, db curl, and lunge felt too easy could add weight next time.",too_light,high
Bench Press,Triceps Pushdown; Lat Pulldown; Bench Press; Face Pull; Dumbbell Fly; Hip Thrust,"Also, on bench my back rounded. bad sleep today. rear delt had 4 reps in reserve could increase load.",form,medium
Squat,Hip Thrust; Triceps Pushdown; Overhead Press; Dumbbell Fly; Leg Extension; Squat,Everything went fine.,none,na
Bench Press,Overhead Press; Bench Press; Hip Thrust; Dumbbell Curl; Lat Pulldown; Romanian Deadlift; Barbell Row; Leg Press,on press my couldn't keep balance! on rdl my technique felt off.,none,na
Overhead Press,Overhead Press; Barbell Row; Dumbbell Curl; Hamstring Curl; Squat; Calf Raise; Lateral Raise,on lateral raise my knees caved. bb row could go heavier could increase load.,none,na
Lunge,Hip Thrust; Squat; Lunge; Calf Raise; Dumbbell Fly; Leg Press; Face Pull; Lateral Raise,face pull and split squat were super heavy. not recovered today!,too_heavy,low
Leg Extension,Leg Extension; Romanian Deadlift; Deadlift; Dumbbell Fly; Barbell Row; Lateral Raise; Hamstring Curl,Solid session.,none,na
Hip Thrust,Hip Thrust; Romanian Deadlift; Lateral Raise; Overhead Press; Leg Press; Barbell Row; Bench Press,not recovered today!,none,na
Leg Extension,Hip Thrust; Lateral Raise; Lat Pulldown; Leg Extension; Leg Press; Hamstring Curl; Bench Press,BTW leg curl felt like warmup. hip thrust missed reps.,none,na
Lunge,Hip Thrust; Triceps Pushdown; Lunge; Overhead Press; Romanian Deadlift; Dumbbell Curl,dumbbell curl absolutely brutal and I missed reps!,none,na
Pull-Up,Dumbbell Fly; Barbell Row; Face Pull; Incline Bench Press; Squat; Hamstring Curl; Pull-Up; Lateral Raise,had to leave early so I cut leg curl. incline press had 4 reps in reserve next time add weight!,none,na
Hip Thrust,Hip Thrust; Dumbbell Curl; Squat; Triceps Pushdown; Overhead Press; Bench Press; Deadlift; Leg Extension,bp felt like warmup! on glute bridge my lost tightness! curl had aching in my elbow. Need more rest.,form,high
Overhead Press,Dumbbell Curl; Lat Pulldown; Leg Press; Overhead Press; Dumbbell Fly; Triceps Pushdown,Everything went fine.,none,na
Leg Press,Lunge; Leg Press; Romanian Deadlift; Hip Thrust; Calf Raise,BTW on leg press my form broke down.,form,high
Lateral Raise,Overhead Press; Calf Raise; Leg Press; Hamstring Curl; Lateral Raise; Hip Thrust; Triceps Pushdown,"Felt good today, no issues.",none,na
Barbell Row,Barbell Row; Dumbbell Curl; Incline Bench Press; Face Pull; Romanian Deadlift,"Also, not recovered today! curl smoked me and I missed reps.",other,high
Overhead Press,Deadlift; Lateral Raise; Overhead Press; Dumbbell Fly; Lunge,fly and shoulder press felt light!,too_light,low
Face Pull,Leg Press; Bench Press; Dumbbell Curl; Dumbbell Fly; Barbell Row; Face Pull; Incline Bench Press; Deadlift,"Felt good today, no issues.",none,na
Deadlift,Dumbbell Curl; Overhead Press; Face Pull; Deadlift; Barbell Row; Leg Press; Hip Thrust; Bench Press,on bb row my couldn't keep balance.,none,na
Leg Extension,Pull-Up; Face Pull; Romanian Deadlift; Hamstring Curl; Leg Extension,felt low energy today!,other,high
Romanian Deadlift,Leg Press; Romanian Deadlift; Lat Pulldown; Hamstring Curl; Hip Thrust; Pull-Up; Overhead Press; Bench Press,pulldown absolutely brutal.,none,na
Deadlift,Leg Extension; Hip Thrust; Calf Raise; Bench Press; Lateral Raise; Deadlift; Barbell Row; Romanian Deadlift,barbell row felt easy. leg extension missed reps.,none,na
Dumbbell Curl,Romanian Deadlift; Incline Bench Press; Dumbbell Curl; Face Pull; Deadlift; Lateral Raise; Lat Pulldown; Dumbbell Fly,Solid session.,none,na
Calf Raise,Calf Raise; Triceps Pushdown; Deadlift; Hamstring Curl; Lat Pulldown; Dumbbell Fly; Incline Bench Press; Squat,BTW dumbbell fly had 4 reps in reserve could increase load.,none,na
Calf Raise,Romanian Deadlift; Lateral Raise; Triceps Pushdown; Calf Raise; Face Pull; Deadlift; Hip Thrust,deadlift and face pull were too heavy. calves felt easy next time add weight.,too_light,low
Deadlift,Bench Press; Deadlift; Triceps Pushdown; Lat Pulldown; Hamstring Curl,"Also, flat bench, lat pull-down, and pushdown were brutal. lol",none,na
Lunge,Bench Press; Dumbbell Curl; Lunge; Pull-Up; Lat Pulldown; Leg Extension; Romanian Deadlift; Deadlift,couldn't finish accessories so I cut lat pull-down.,none,na
Barbell Row,Dumbbell Fly; Dumbbell Curl; Calf Raise; Hamstring Curl; Lunge; Barbell Row; Bench Press,felt low energy today.,none,na
Leg Press,Hip Thrust; Leg Press; Squat; Incline Bench Press; Pull-Up; Calf Raise,Note: on hip thrust my knees caved.,none,na
Calf Raise,Lat Pulldown; Deadlift; Barbell Row; Hip Thrust; Calf Raise; Incline Bench Press,Solid session.,none,na
Triceps Pushdown,Barbell Row; Squat; Triceps Pushdown; Dumbbell Fly; Bench Press; Deadlift,BTW row and pushdown felt easy could add weight next time. Overall ok.,too_light,medium
Deadlift,Lunge; Calf Raise; Leg Press; Lateral Raise; Deadlift; Hamstring Curl; Squat; Barbell Row,bb row had 4 reps in reserve.,none,na
Overhead Press,Calf Raise; Leg Press; Bench Press; Barbell Row; Dumbbell Curl; Incline Bench Press; Overhead Press; Squat,"Also, calf raise had tweak in my elbow. db curl couldnt finish.",none,na
Squat,Overhead Press; Hip Thrust; Lunge; Triceps Pushdown; Lateral Raise; Calf Raise; Squat,split squat too easy next time add weight! side raise absolutely brutal. hip thrust had sharp pain in my neck. Overall ok.,none,na
Hip Thrust,Calf Raise; Incline Bench Press; Squat; Hip Thrust; Triceps Pushdown; Dumbbell Curl,bsq couldn't finish.,none,na
Bench Press,Lunge; Lateral Raise; Bench Press; Deadlift; Calf Raise; Leg Press; Pull-Up; Barbell Row,on lateral raise my back rounded. Overall ok.,none,na
Dumbbell Curl,Lateral Raise; Face Pull; Incline Bench Press; Pull-Up; Dumbbell Curl; Romanian Deadlift,BTW dumbbell curl had aching in my ankle! pullup had tweak in my knee.,pain,low
Face Pull,Lateral Raise; Lunge; Overhead Press; Romanian Deadlift; Face Pull,romanian deadlift couldn't finish!,none,na
Calf Raise,Calf Raise; Romanian Deadlift; Lunge; Squat; Incline Bench Press; Deadlift; Leg Extension; Leg Press,"Felt good today, no issues.",none,na
Dumbbell Fly,Calf Raise; Leg Extension; Lateral Raise; Dumbbell Fly; Pull-Up; Bench Press; Hamstring Curl,quad extension and calf raise were brutal!,none,na
Barbell Row,Barbell Row; Face Pull; Triceps Pushdown; Hamstring Curl; Leg Press; Bench Press; Overhead Press,hamstring curl smoked me.,none,na
Face Pull,Overhead Press; Triceps Pushdown; Bench Press; Lunge; Barbell Row; Face Pull; Leg Press,felt gassed today! leg press too easy. lol,other,low
Bench Press,Leg Press; Bench Press; Dumbbell Curl; Dumbbell Fly; Barbell Row; Face Pull; Incline Bench Press; Deadlift,"Felt good today, no issues.",none,na
Lunge,Face Pull; Squat; Calf Raise; Lunge; Pull-Up,BTW calf raise smoked me and I failed the last rep. chinup smoked me and I failed the last rep!,none,na
Dumbbell Curl,Dumbbell Curl; Deadlift; Lunge; Leg Press; Bench Press,"split sqaut, benchpress, and pull were too heavy. Will adjust next time.",none,na
Lunge,Lunge; Face Pull; Hip Thrust; Deadlift; Lat Pulldown; Leg Press; Lateral Raise; Triceps Pushdown,pushdown could go heavier! Need more rest. lol,none,na
Pull-Up,Triceps Pushdown; Lat Pulldown; Romanian Deadlift; Face Pull; Incline Bench Press; Pull-Up; Leg Extension,on lat pull-down my technique felt off!,none,na
Bench Press,Incline Bench Press; Calf Raise; Bench Press; Squat; Hip Thrust; Lunge; Pull-Up,on back squat my technique felt off. bad sleep today. pullup felt like warmup next time add weight!,none,na
Hip Thrust,Dumbbell Curl; Overhead Press; Hip Thrust; Lunge; Bench Press; Dumbbell Fly; Squat,no cables available so I couldn't do lunge!,none,na
Lat Pulldown,Lat Pulldown; Romanian Deadlift; Hamstring Curl; Dumbbell Fly; Calf Raise,no cables available so I couldn't do pulldown. hamstring curl had pain in my elbow.,equipment,low
Lateral Raise,Hip Thrust; Leg Press; Calf Raise; Lateral Raise; Incline Bench Press; Deadlift; Triceps Pushdown; Bench Press,not recovered today. Will adjust next time.,none,na
Hip Thrust,Deadlift; Hip Thrust; Bench Press; Overhead Press; Squat; Leg Extension; Face Pull; Calf Raise,calves had felt tight in my ankle.,none,na
Romanian Deadlift,Dumbbell Curl; Hip Thrust; Lunge; Squat; Barbell Row; Romanian Deadlift; Overhead Press,on glute bridge my knees caved!,none,na
Calf Raise,Pull-Up; Face Pull; Calf Raise; Lateral Raise; Bench Press; Dumbbell Curl,rack was occupied so I couldn't do calves. side raise couldn't finish. tbh,equipment,low
Triceps Pushdown,Lunge; Deadlift; Bench Press; Triceps Pushdown; Calf Raise; Leg Press; Squat,time crunch so I cut tricep pushdown!,time,high
Incline Bench Press,Leg Extension; Face Pull; Hip Thrust; Overhead Press; Hamstring Curl; Lunge; Incline Bench Press; Lat Pulldown,Note: split squat had hurt in my hip! Need more rest.,none,na
Overhead Press,Lunge; Leg Press; Bench Press; Calf Raise; Barbell Row; Lat Pulldown; Overhead Press,split squat had 4 reps in reserve next time add weight!,none,na
Romanian Deadlift,Lateral Raise; Romanian Deadlift; Bench Press; Lunge; Hamstring Curl; Barbell Row; Pull-Up; Incline Bench Press,Note: barbell row smoked me and I failed the last rep! side raise absolutely brutal and I missed reps! felt gassed today.,none,na
Leg Extension,Pull-Up; Leg Extension; Lunge; Romanian Deadlift; Calf Raise; Lateral Raise,Note: rdl and pullup felt too easy! Overall ok.,none,na
Overhead Press,Bench Press; Lunge; Overhead Press; Romanian Deadlift; Squat; Leg Press; Incline Bench Press; Pull-Up,"Also, ran out of time so I cut benchpress.",none,na
Hamstring Curl,Hamstring Curl; Overhead Press; Dumbbell Curl; Lateral Raise; Dumbbell Fly; Leg Extension; Face Pull,BTW on quad extension my form broke down. leg curl couldn't finish.,too_heavy,low
Bench Press,Hamstring Curl; Pull-Up; Lunge; Deadlift; Bench Press; Incline Bench Press; Squat; Lateral Raise,"Felt good today, no issues.",none,na
Bench Press,Bench Press; Dumbbell Fly; Romanian Deadlift; Triceps Pushdown; Incline Bench Press,fly and romanian deadlift felt light.,none,na
Incline Bench Press,Triceps Pushdown; Leg Extension; Calf Raise; Hamstring Curl; Leg Press; Dumbbell Fly; Romanian Deadlift; Incline Bench Press,"Felt good today, no issues.",none,na
Triceps Pushdown,Triceps Pushdown; Lunge; Barbell Row; Overhead Press; Incline Bench Press; Pull-Up; Leg Extension,leg extension smoked me.,none,na
Leg Press,Leg Press; Overhead Press; Calf Raise; Hip Thrust; Lateral Raise,felt gassed today.,none,na
